id;tamaño;cantidadPersonas;soloNiños
4;doble;2;false
10;king;2;false
2;individual;1;false
16;doble;3;false
8;king;2;false
5;doble;2;false
3;individual;1;false
18;king;3;false
15;doble;3;false
11;queen;2;false
13;queen;2;false
19;king;3;false
20;king;3;false
12;queen;2;false
1;individual;1;true
17;doble;3;false
9;king;2;false
7;doble;2;false
6;doble;2;false
14;queen;2;false
1;queen;2;false
5;queen;2;false
8;queen;2;false
4;queen;2;false
3;doble;2;false
16;king;3;false
2;doble;2;false
10;doble;2;false
13;doble;2;false
20;doble;3;false
11;doble;2;false
14;doble;2;false
12;doble;2;false
18;doble;3;false
15;king;3;false
7;queen;2;false
19;queen;3;false
6;queen;2;false
9;queen;2;false
17;king;3;false
1;doble;2;false
10;queen;2;false
3;queen;2;false
6;doble;2;false
4;king;2;false
8;doble;2;false
11;doble;3;false
13;king;3;false
14;king;3;false
19;doble;3;false
15;queen;3;false
18;queen;3;false
20;queen;3;false
2;king;2;false
5;doble;3;false
7;doble;3;false
9;doble;3;false
12;king;3;false
16;queen;3;false
17;queen;3;false
21;doble;2;false
21;individual;1;true
