nombreServicio;tipoCobro;lugarServicio;precio
Tour por la ciudad;persona;Hotel;15000
Masaje relajante;persona;Spa;50000
Traslado al aeropuerto;grupo;Hotel;100000
Acceso al gimnasio;persona;Gimnasio;10000
Alquiler de bicicletas;grupo;Hotel;25000
Clases de yoga;persona;Gimnasio;15000
Tratamiento facial;persona;Spa;70000
Sesión de sauna;persona;Spa;20000
Sesión de jacuzzi;grupo;Hotel;50000
Paseo en bote;grupo;Playa;75000
Tour de compras;persona;Hotel;20000
Clases de natación;persona;Piscina;25000
Excursión en kayak;grupo;Playa;60000
Sesión de manicura/pedicura;persona;Spa;40000
Sesión de maquillaje;persona;Spa;60000
